athlete,age,country,year,date,sport,gold,silver,bronze,total,combined_text,clean_text,cluster
Vasily Rochev,25.0,Russia,2006,26/02/2006,Cross Country Skiing,0,0,1,1,Vasily Rochev 25.0 Russia 26/02/2006 Cross Country Skiing,vasily rochev russia cross country skiing,1
Aino-Kaisa Saarinen,27.0,Finland,2006,26/02/2006,Cross Country Skiing,0,0,1,1,Aino-Kaisa Saarinen 27.0 Finland 26/02/2006 Cross Country Skiing,aino kaisa saarinen finland cross country skiing,1
Evi Sachenbacher-Stehle,25.0,Germany,2006,26/02/2006,Cross Country Skiing,0,1,0,1,Evi Sachenbacher-Stehle 25.0 Germany 26/02/2006 Cross Country Skiing,evi sachenbacher stehle germany cross country skiing,1
Andreas Schlütter,33.0,Germany,2006,26/02/2006,Cross Country Skiing,0,1,0,1,Andreas Schlütter 33.0 Germany 26/02/2006 Cross Country Skiing,andreas schl tter germany cross country skiing,1
Beckie Scott,31.0,Canada,2006,26/02/2006,Cross Country Skiing,0,1,0,1,Beckie Scott 31.0 Canada 26/02/2006 Cross Country Skiing,beckie scott canada cross country skiing,1
Alyona Sidko,26.0,Russia,2006,26/02/2006,Cross Country Skiing,0,0,1,1,Alyona Sidko 26.0 Russia 26/02/2006 Cross Country Skiing,alyona sidko russia cross country skiing,1
Anders Södergren,28.0,Sweden,2006,26/02/2006,Cross Country Skiing,0,0,1,1,Anders Södergren 28.0 Sweden 26/02/2006 Cross Country Skiing,anders dergren sweden cross country skiing,1
René Sommerfeldt,31.0,Germany,2006,26/02/2006,Cross Country Skiing,0,1,0,1,René Sommerfeldt 31.0 Germany 26/02/2006 Cross Country Skiing,ren sommerfeldt germany cross country skiing,1
Jens Arne Svartedal,30.0,Norway,2006,26/02/2006,Cross Country Skiing,0,1,0,1,Jens Arne Svartedal 30.0 Norway 26/02/2006 Cross Country Skiing,jens arne svartedal norway cross country skiing,1
Fulvio Valbusa,37.0,Italy,2006,26/02/2006,Cross Country Skiing,1,0,0,1,Fulvio Valbusa 37.0 Italy 26/02/2006 Cross Country Skiing,fulvio valbusa italy cross country skiing,1
Sabina Valbusa,34.0,Italy,2006,26/02/2006,Cross Country Skiing,0,0,1,1,Sabina Valbusa 34.0 Italy 26/02/2006 Cross Country Skiing,sabina valbusa italy cross country skiing,1
Andrus Veerpalu,35.0,Estonia,2006,26/02/2006,Cross Country Skiing,1,0,0,1,Andrus Veerpalu 35.0 Estonia 26/02/2006 Cross Country Skiing,andrus veerpalu estonia cross country skiing,1
Cristian Zorzi,33.0,Italy,2006,26/02/2006,Cross Country Skiing,1,0,0,1,Cristian Zorzi 33.0 Italy 26/02/2006 Cross Country Skiing,cristian zorzi italy cross country skiing,1
Brigitte Albrecht-Loretan,31.0,Switzerland,2002,24/02/2002,Cross Country Skiing,0,0,1,1,Brigitte Albrecht-Loretan 31.0 Switzerland 24/02/2002 Cross Country Skiing,brigitte albrecht loretan switzerland cross country skiing,1
Tobias Angerer,24.0,Germany,2002,24/02/2002,Cross Country Skiing,0,0,1,1,Tobias Angerer 24.0 Germany 24/02/2002 Cross Country Skiing,tobias angerer germany cross country skiing,1
Anders Aukland,29.0,Norway,2002,24/02/2002,Cross Country Skiing,1,0,0,1,Anders Aukland 29.0 Norway 24/02/2002 Cross Country Skiing,anders aukland norway cross country skiing,1
Marit Bjørgen,21.0,Norway,2002,24/02/2002,Cross Country Skiing,0,1,0,1,Marit Bjørgen 21.0 Norway 24/02/2002 Cross Country Skiing,marit rgen norway cross country skiing,1
Mikhail Botvinov,34.0,Austria,2002,24/02/2002,Cross Country Skiing,0,1,0,1,Mikhail Botvinov 34.0 Austria 24/02/2002 Cross Country Skiing,mikhail botvinov austria cross country skiing,1
Giorgio Di Centa,29.0,Italy,2002,24/02/2002,Cross Country Skiing,0,1,0,1,Giorgio Di Centa 29.0 Italy 24/02/2002 Cross Country Skiing,giorgio centa italy cross country skiing,1
Per Elofsson,24.0,Sweden,2002,24/02/2002,Cross Country Skiing,0,0,1,1,Per Elofsson 24.0 Sweden 24/02/2002 Cross Country Skiing,per elofsson sweden cross country skiing,1
Jens Filbrich,22.0,Germany,2002,24/02/2002,Cross Country Skiing,0,0,1,1,Jens Filbrich 22.0 Germany 24/02/2002 Cross Country Skiing,jens filbrich germany cross country skiing,1
Manuela Henkel,27.0,Germany,2002,24/02/2002,Cross Country Skiing,1,0,0,1,Manuela Henkel 27.0 Germany 24/02/2002 Cross Country Skiing,manuela henkel germany cross country skiing,1
Tor-Arne Hetland,28.0,Norway,2002,24/02/2002,Cross Country Skiing,1,0,0,1,Tor-Arne Hetland 28.0 Norway 24/02/2002 Cross Country Skiing,tor arne hetland norway cross country skiing,1
Odd-Bjørn Hjelmeset,30.0,Norway,2002,24/02/2002,Cross Country Skiing,0,0,1,1,Odd-Bjørn Hjelmeset 30.0 Norway 24/02/2002 Cross Country Skiing,odd hjelmeset norway cross country skiing,1
Christian Hoffmann,27.0,Austria,2002,24/02/2002,Cross Country Skiing,1,0,0,1,Christian Hoffmann 27.0 Austria 24/02/2002 Cross Country Skiing,christian hoffmann austria cross country skiing,1
Andrea Huber,26.0,Switzerland,2002,24/02/2002,Cross Country Skiing,0,0,1,1,Andrea Huber 26.0 Switzerland 24/02/2002 Cross Country Skiing,andrea huber switzerland cross country skiing,1
Mikhail Ivanov,24.0,Russia,2002,24/02/2002,Cross Country Skiing,1,0,0,1,Mikhail Ivanov 24.0 Russia 24/02/2002 Cross Country Skiing,mikhail ivanov russia cross country skiing,1
Claudia Künzel-Nystad,24.0,Germany,2002,24/02/2002,Cross Country Skiing,1,0,0,1,Claudia Künzel-Nystad 24.0 Germany 24/02/2002 Cross Country Skiing,claudia nzel nystad germany cross country skiing,1
Natascia Leonardi Cortesi,30.0,Switzerland,2002,24/02/2002,Cross Country Skiing,0,0,1,1,Natascia Leonardi Cortesi 30.0 Switzerland 24/02/2002 Cross Country Skiing,natascia leonardi cortesi switzerland cross country skiing,1
Jaak Mae,29.0,Estonia,2002,24/02/2002,Cross Country Skiing,0,0,1,1,Jaak Mae 29.0 Estonia 24/02/2002 Cross Country Skiing,jaak mae estonia cross country skiing,1
Fabio Maj,31.0,Italy,2002,24/02/2002,Cross Country Skiing,0,1,0,1,Fabio Maj 31.0 Italy 24/02/2002 Cross Country Skiing,fabio maj italy cross country skiing,1
Gabriella Paruzzi,32.0,Italy,2002,24/02/2002,Cross Country Skiing,1,0,0,1,Gabriella Paruzzi 32.0 Italy 24/02/2002 Cross Country Skiing,gabriella paruzzi italy cross country skiing,1
Hilde Gjermundshaug Pedersen,37.0,Norway,2002,24/02/2002,Cross Country Skiing,0,1,0,1,Hilde Gjermundshaug Pedersen 37.0 Norway 24/02/2002 Cross Country Skiing,hilde gjermundshaug pedersen norway cross country skiing,1
Pietro Piller Cottrer,27.0,Italy,2002,24/02/2002,Cross Country Skiing,0,1,0,1,Pietro Piller Cottrer 27.0 Italy 24/02/2002 Cross Country Skiing,pietro piller cottrer italy cross country skiing,1
Laurence Rochat,22.0,Switzerland,2002,24/02/2002,Cross Country Skiing,0,0,1,1,Laurence Rochat 22.0 Switzerland 24/02/2002 Cross Country Skiing,laurence rochat switzerland cross country skiing,1
Peter Schlickenrieder,32.0,Germany,2002,24/02/2002,Cross Country Skiing,0,1,0,1,Peter Schlickenrieder 32.0 Germany 24/02/2002 Cross Country Skiing,peter schlickenrieder germany cross country skiing,1
Andreas Schlütter,29.0,Germany,2002,24/02/2002,Cross Country Skiing,0,0,1,1,Andreas Schlütter 29.0 Germany 24/02/2002 Cross Country Skiing,andreas schl tter germany cross country skiing,1
Beckie Scott,27.0,Canada,2002,24/02/2002,Cross Country Skiing,1,0,0,1,Beckie Scott 27.0 Canada 24/02/2002 Cross Country Skiing,beckie scott canada cross country skiing,1
René Sommerfeldt,27.0,Germany,2002,24/02/2002,Cross Country Skiing,0,0,1,1,René Sommerfeldt 27.0 Germany 24/02/2002 Cross Country Skiing,ren sommerfeldt germany cross country skiing,1
Hannes Aigner,23.0,Germany,2012,12/8/2012,Canoeing,0,0,1,1,Hannes Aigner 23.0 Germany 12/8/2012 Canoeing,hannes aigner germany canoeing,1
Tim Baillie,33.0,Great Britain,2012,12/8/2012,Canoeing,1,0,0,1,Tim Baillie 33.0 Great Britain 12/8/2012 Canoeing,tim baillie great britain canoeing,1
Aleksandr Bogdanovich,30.0,Belarus,2012,12/8/2012,Canoeing,0,1,0,1,Aleksandr Bogdanovich 30.0 Belarus 12/8/2012 Canoeing,aleksandr bogdanovich belarus canoeing,1
Andrey Bogdanovich,24.0,Belarus,2012,12/8/2012,Canoeing,0,1,0,1,Andrey Bogdanovich 24.0 Belarus 12/8/2012 Canoeing,andrey bogdanovich belarus canoeing,1
Sebastian Brendel,24.0,Germany,2012,12/8/2012,Canoeing,1,0,0,1,Sebastian Brendel 24.0 Germany 12/8/2012 Canoeing,sebastian brendel germany canoeing,1
David Cal,29.0,Spain,2012,12/8/2012,Canoeing,0,1,0,1,David Cal 29.0 Spain 12/8/2012 Canoeing,david cal spain canoeing,1
Lisa Carrington,23.0,New Zealand,2012,12/8/2012,Canoeing,1,0,0,1,Lisa Carrington 23.0 New Zealand 12/8/2012 Canoeing,lisa carrington new zealand canoeing,1
Yuriy Cheban,26.0,Ukraine,2012,12/8/2012,Canoeing,1,0,0,1,Yuriy Cheban 26.0 Ukraine 12/8/2012 Canoeing,yuriy cheban ukraine canoeing,1
Maialen Chourraut,29.0,Spain,2012,12/8/2012,Canoeing,0,0,1,1,Maialen Chourraut 29.0 Spain 12/8/2012 Canoeing,maialen chourraut spain canoeing,1
Jacob Clear,27.0,Australia,2012,12/8/2012,Canoeing,1,0,0,1,Jacob Clear 27.0 Australia 12/8/2012 Canoeing,jacob clear australia canoeing,1
Saúl Craviotto,27.0,Spain,2012,12/8/2012,Canoeing,0,1,0,1,Saúl Craviotto 27.0 Spain 12/8/2012 Canoeing,craviotto spain canoeing,1
Mark de Jonge,28.0,Canada,2012,12/8/2012,Canoeing,0,0,1,1,Mark de Jonge 28.0 Canada 12/8/2012 Canoeing,mark jonge canada canoeing,1
Rudolf Dombi,25.0,Hungary,2012,12/8/2012,Canoeing,1,0,0,1,Rudolf Dombi 25.0 Hungary 12/8/2012 Canoeing,rudolf dombi hungary canoeing,1
Josef Dostál,19.0,Czech Republic,2012,12/8/2012,Canoeing,0,0,1,1,Josef Dostál 19.0 Czech Republic 12/8/2012 Canoeing,josef dost czech republic canoeing,1
Aleksandr Dyachenko,22.0,Russia,2012,12/8/2012,Canoeing,1,0,0,1,Aleksandr Dyachenko 22.0 Russia 12/8/2012 Canoeing,aleksandr dyachenko russia canoeing,1
Tony Estanguet,34.0,France,2012,12/8/2012,Canoeing,1,0,0,1,Tony Estanguet 34.0 France 12/8/2012 Canoeing,tony estanguet france canoeing,1
Krisztina Fazekas Zur,32.0,Hungary,2012,12/8/2012,Canoeing,1,0,0,1,Krisztina Fazekas Zur 32.0 Hungary 12/8/2012 Canoeing,krisztina fazekas zur hungary canoeing,1
Emilie Fer,29.0,France,2012,12/8/2012,Canoeing,1,0,0,1,Emilie Fer 29.0 France 12/8/2012 Canoeing,emilie fer france canoeing,1
David Florence,29.0,Great Britain,2012,12/8/2012,Canoeing,0,1,0,1,David Florence 29.0 Great Britain 12/8/2012 Canoeing,david florence great britain canoeing,1
Jess Fox,18.0,Australia,2012,12/8/2012,Canoeing,0,1,0,1,Jess Fox 18.0 Australia 12/8/2012 Canoeing,jess fox australia canoeing,1
Bridgitte Hartley,29.0,South Africa,2012,12/8/2012,Canoeing,0,0,1,1,Bridgitte Hartley 29.0 South Africa 12/8/2012 Canoeing,bridgitte hartley south africa canoeing,1
Daniel Havel,20.0,Czech Republic,2012,12/8/2012,Canoeing,0,0,1,1,Daniel Havel 20.0 Czech Republic 12/8/2012 Canoeing,daniel havel czech republic canoeing,1
Liam Heath,27.0,Great Britain,2012,12/8/2012,Canoeing,0,0,1,1,Liam Heath 27.0 Great Britain 12/8/2012 Canoeing,liam heath great britain canoeing,1
Pavol Hochschorner,32.0,Slovakia,2012,12/8/2012,Canoeing,0,0,1,1,Pavol Hochschorner 32.0 Slovakia 12/8/2012 Canoeing,pavol hochschorner slovakia canoeing,1
Peter Hochschorner,32.0,Slovakia,2012,12/8/2012,Canoeing,0,0,1,1,Peter Hochschorner 32.0 Slovakia 12/8/2012 Canoeing,peter hochschorner slovakia canoeing,1
Max Hoff,29.0,Germany,2012,12/8/2012,Canoeing,0,0,1,1,Max Hoff 29.0 Germany 12/8/2012 Canoeing,max hoff germany canoeing,1
Martin Hollstein,25.0,Germany,2012,12/8/2012,Canoeing,0,0,1,1,Martin Hollstein 25.0 Germany 12/8/2012 Canoeing,martin hollstein germany canoeing,1
Richard Hounslow,30.0,Great Britain,2012,12/8/2012,Canoeing,0,1,0,1,Richard Hounslow 30.0 Great Britain 12/8/2012 Canoeing,richard hounslow great britain canoeing,1
Vavrinec Hradílek,25.0,Czech Republic,2012,12/8/2012,Canoeing,0,1,0,1,Vavrinec Hradílek 25.0 Czech Republic 12/8/2012 Canoeing,vavrinec hrad lek czech republic canoeing,1
Andreas Ihle,33.0,Germany,2012,12/8/2012,Canoeing,0,0,1,1,Andreas Ihle 33.0 Germany 12/8/2012 Canoeing,andreas ihle germany canoeing,1
Zoltán Kammerer,34.0,Hungary,2012,12/8/2012,Canoeing,0,1,0,1,Zoltán Kammerer 34.0 Hungary 12/8/2012 Canoeing,zolt kammerer hungary canoeing,1
Olga Khudenko,20.0,Belarus,2012,12/8/2012,Canoeing,0,0,1,1,Olga Khudenko 20.0 Belarus 12/8/2012 Canoeing,olga khudenko belarus canoeing,1
Roland Kökény,36.0,Hungary,2012,12/8/2012,Canoeing,1,0,0,1,Roland Kökény 36.0 Hungary 12/8/2012 Canoeing,roland hungary canoeing,1
Aleksey Korovashkov,20.0,Russia,2012,12/8/2012,Canoeing,0,0,1,1,Aleksey Korovashkov 20.0 Russia 12/8/2012 Canoeing,aleksey korovashkov russia canoeing,1
Peter Kretschmer,20.0,Germany,2012,12/8/2012,Canoeing,1,0,0,1,Peter Kretschmer 20.0 Germany 12/8/2012 Canoeing,peter kretschmer germany canoeing,1
Tamás Kulifai,23.0,Hungary,2012,12/8/2012,Canoeing,0,1,0,1,Tamás Kulifai 23.0 Hungary 12/8/2012 Canoeing,tam kulifai hungary canoeing,1
Kurt Kuschela,23.0,Germany,2012,12/8/2012,Canoeing,1,0,0,1,Kurt Kuschela 23.0 Germany 12/8/2012 Canoeing,kurt kuschela germany canoeing,1
Eirik Verås Larsen,36.0,Norway,2012,12/8/2012,Canoeing,1,0,0,1,Eirik Verås Larsen 36.0 Norway 12/8/2012 Canoeing,eirik ver larsen norway canoeing,1
Carolin Leonhardt,27.0,Germany,2012,12/8/2012,Canoeing,0,1,0,1,Carolin Leonhardt 27.0 Germany 12/8/2012 Canoeing,carolin leonhardt germany canoeing,1
Vadim Makhnyov,32.0,Belarus,2012,12/8/2012,Canoeing,0,1,0,1,Vadim Makhnyov 32.0 Belarus 12/8/2012 Canoeing,vadim makhnyov belarus canoeing,1
Michal Martikán,33.0,Slovakia,2012,12/8/2012,Canoeing,0,0,1,1,Michal Martikán 33.0 Slovakia 12/8/2012 Canoeing,michal martik slovakia canoeing,1
Ed McKeever,28.0,Great Britain,2012,12/8/2012,Canoeing,1,0,0,1,Ed McKeever 28.0 Great Britain 12/8/2012 Canoeing,mckeever great britain canoeing,1
Beata Mikolajczyk,26.0,Poland,2012,12/8/2012,Canoeing,0,0,1,1,Beata Mikolajczyk 26.0 Poland 12/8/2012 Canoeing,beata mikolajczyk poland canoeing,1
Daniele Molmenti,27.0,Italy,2012,12/8/2012,Canoeing,1,0,0,1,Daniele Molmenti 27.0 Italy 12/8/2012 Canoeing,daniele molmenti italy canoeing,1
Karolina Naja,22.0,Poland,2012,12/8/2012,Canoeing,0,0,1,1,Karolina Naja 22.0 Poland 12/8/2012 Canoeing,karolina naja poland canoeing,1
Mark Oldershaw,29.0,Canada,2012,12/8/2012,Canoeing,0,0,1,1,Mark Oldershaw 29.0 Canada 12/8/2012 Canoeing,mark oldershaw canada canoeing,1
Dániel Pauman,25.0,Hungary,2012,12/8/2012,Canoeing,0,1,0,1,Dániel Pauman 25.0 Hungary 12/8/2012 Canoeing,niel pauman hungary canoeing,1
Ilya Pervukhin,21.0,Russia,2012,12/8/2012,Canoeing,0,0,1,1,Ilya Pervukhin 21.0 Russia 12/8/2012 Canoeing,ilya pervukhin russia canoeing,1
Roman Petrushenko,31.0,Belarus,2012,12/8/2012,Canoeing,0,1,0,1,Roman Petrushenko 31.0 Belarus 12/8/2012 Canoeing,roman petrushenko belarus canoeing,1
Fernando Pimenta,22.0,Portugal,2012,12/8/2012,Canoeing,0,1,0,1,Fernando Pimenta 22.0 Portugal 12/8/2012 Canoeing,fernando pimenta portugal canoeing,1
Marina Poltoran,24.0,Belarus,2012,12/8/2012,Canoeing,0,0,1,1,Marina Poltoran 24.0 Belarus 12/8/2012 Canoeing,marina poltoran belarus canoeing,1
Irina Pomelova,22.0,Belarus,2012,12/8/2012,Canoeing,0,0,1,1,Irina Pomelova 22.0 Belarus 12/8/2012 Canoeing,irina pomelova belarus canoeing,1
Nadezhda Popok,23.0,Belarus,2012,12/8/2012,Canoeing,0,0,1,1,Nadezhda Popok 23.0 Belarus 12/8/2012 Canoeing,nadezhda popok belarus canoeing,1
Yury Postrigay,23.0,Russia,2012,12/8/2012,Canoeing,1,0,0,1,Yury Postrigay 23.0 Russia 12/8/2012 Canoeing,yury postrigay russia canoeing,1
Jon Schofield,27.0,Great Britain,2012,12/8/2012,Canoeing,0,0,1,1,Jon Schofield 27.0 Great Britain 12/8/2012 Canoeing,jon schofield great britain canoeing,1
Ivan Shtyl,26.0,Russia,2012,12/8/2012,Canoeing,0,0,1,1,Ivan Shtyl 26.0 Russia 12/8/2012 Canoeing,ivan shtyl russia canoeing,1
Emanuel Silva,26.0,Portugal,2012,12/8/2012,Canoeing,0,1,0,1,Emanuel Silva 26.0 Portugal 12/8/2012 Canoeing,emanuel silva portugal canoeing,1
Dave Smith,25.0,Australia,2012,12/8/2012,Canoeing,1,0,0,1,Dave Smith 25.0 Australia 12/8/2012 Canoeing,dave smith australia canoeing,1
Tate Smith,30.0,Australia,2012,12/8/2012,Canoeing,1,0,0,1,Tate Smith 30.0 Australia 12/8/2012 Canoeing,tate smith australia canoeing,1
Jan Šterba,31.0,Czech Republic,2012,12/8/2012,Canoeing,0,0,1,1,Jan Šterba 31.0 Czech Republic 12/8/2012 Canoeing,jan terba czech republic canoeing,1
Murray Stewart,26.0,Australia,2012,12/8/2012,Canoeing,1,0,0,1,Murray Stewart 26.0 Australia 12/8/2012 Canoeing,murray stewart australia canoeing,1
Etienne Stott,33.0,Great Britain,2012,12/8/2012,Canoeing,1,0,0,1,Etienne Stott 33.0 Great Britain 12/8/2012 Canoeing,etienne stott great britain canoeing,1
Jevgenijus Šuklinas,26.0,Lithuania,2012,12/8/2012,Canoeing,0,1,0,1,Jevgenijus Šuklinas 26.0 Lithuania 12/8/2012 Canoeing,jevgenijus uklinas lithuania canoeing,1
Gabriella Szabó,25.0,Hungary,2012,12/8/2012,Canoeing,1,0,0,1,Gabriella Szabó 25.0 Hungary 12/8/2012 Canoeing,gabriella szab hungary canoeing,1
Sideris Tasiadis,22.0,Germany,2012,12/8/2012,Canoeing,0,1,0,1,Sideris Tasiadis 22.0 Germany 12/8/2012 Canoeing,sideris tasiadis germany canoeing,1
Dávid Tóth,27.0,Hungary,2012,12/8/2012,Canoeing,0,1,0,1,Dávid Tóth 27.0 Hungary 12/8/2012 Canoeing,vid hungary canoeing,1
Lukáš Trefil,23.0,Czech Republic,2012,12/8/2012,Canoeing,0,0,1,1,Lukáš Trefil 23.0 Czech Republic 12/8/2012 Canoeing,luk trefil czech republic canoeing,1
Adam Van Koeverden,30.0,Canada,2012,12/8/2012,Canoeing,0,1,0,1,Adam Van Koeverden 30.0 Canada 12/8/2012 Canoeing,adam van koeverden canada canoeing,1
Katrin Wagner-Augustin,34.0,Germany,2012,12/8/2012,Canoeing,0,1,0,1,Katrin Wagner-Augustin 34.0 Germany 12/8/2012 Canoeing,katrin wagner augustin germany canoeing,1
Aleksey Abalmasov,28.0,Belarus,2008,24/08/2008,Canoeing,1,0,0,1,Aleksey Abalmasov 28.0 Belarus 24/08/2008 Canoeing,aleksey abalmasov belarus canoeing,1
Lutz Altepost,26.0,Germany,2008,24/08/2008,Canoeing,0,0,1,1,Lutz Altepost 26.0 Germany 24/08/2008 Canoeing,lutz altepost germany canoeing,1
Rob Bell,30.0,Australia,2008,24/08/2008,Canoeing,0,0,1,1,Rob Bell 30.0 Australia 24/08/2008 Canoeing,rob bell australia canoeing,1
Aleksandr Bogdanovich,26.0,Belarus,2008,24/08/2008,Canoeing,1,0,0,1,Aleksandr Bogdanovich 26.0 Belarus 24/08/2008 Canoeing,aleksandr bogdanovich belarus canoeing,1
Andrey Bogdanovich,20.0,Belarus,2008,24/08/2008,Canoeing,1,0,0,1,Andrey Bogdanovich 20.0 Belarus 24/08/2008 Canoeing,andrey bogdanovich belarus canoeing,1
Benjamin Boukpeti,27.0,Togo,2008,24/08/2008,Canoeing,0,0,1,1,Benjamin Boukpeti 27.0 Togo 24/08/2008 Canoeing,benjamin boukpeti togo canoeing,1
Norman Bröckl,21.0,Germany,2008,24/08/2008,Canoeing,0,0,1,1,Norman Bröckl 21.0 Germany 24/08/2008 Canoeing,norman ckl germany canoeing,1
Yuriy Cheban,22.0,Ukraine,2008,24/08/2008,Canoeing,0,0,1,1,Yuriy Cheban 22.0 Ukraine 24/08/2008 Canoeing,yuriy cheban ukraine canoeing,1
Saúl Craviotto,23.0,Spain,2008,24/08/2008,Canoeing,1,0,0,1,Saúl Craviotto 23.0 Spain 24/08/2008 Canoeing,craviotto spain canoeing,1
Hannah Davis,23.0,Australia,2008,24/08/2008,Canoeing,0,0,1,1,Hannah Davis 23.0 Australia 24/08/2008 Canoeing,hannah davis australia canoeing,1
Marie Delattre,27.0,France,2008,24/08/2008,Canoeing,0,0,1,1,Marie Delattre 27.0 France 24/08/2008 Canoeing,marie delattre france canoeing,1
Torsten Eckbrett,24.0,Germany,2008,24/08/2008,Canoeing,0,0,1,1,Torsten Eckbrett 24.0 Germany 24/08/2008 Canoeing,torsten eckbrett germany canoeing,1
Andrea Facchin,29.0,Italy,2008,24/08/2008,Canoeing,0,0,1,1,Andrea Facchin 29.0 Italy 24/08/2008 Canoeing,andrea facchin italy canoeing,1
Fanny Fischer,21.0,Germany,2008,24/08/2008,Canoeing,1,0,0,1,Fanny Fischer 21.0 Germany 24/08/2008 Canoeing,fanny fischer germany canoeing,1
David Florence,26.0,Great Britain,2008,24/08/2008,Canoeing,0,1,0,1,David Florence 26.0 Great Britain 24/08/2008 Canoeing,david florence great britain canoeing,1
Lyndsie Fogarty,24.0,Australia,2008,24/08/2008,Canoeing,0,0,1,1,Lyndsie Fogarty 24.0 Australia 24/08/2008 Canoeing,lyndsie fogarty australia canoeing,1
Björn Goldschmidt,28.0,Germany,2008,24/08/2008,Canoeing,0,0,1,1,Björn Goldschmidt 28.0 Germany 24/08/2008 Canoeing,goldschmidt germany canoeing,1
Alexander Grimm,21.0,Germany,2008,24/08/2008,Canoeing,1,0,0,1,Alexander Grimm 21.0 Germany 24/08/2008 Canoeing,alexander grimm germany canoeing,1
Thomas Hall,26.0,Canada,2008,24/08/2008,Canoeing,0,0,1,1,Thomas Hall 26.0 Canada 24/08/2008 Canoeing,thomas hall canada canoeing,1
Pavol Hochschorner,28.0,Slovakia,2008,24/08/2008,Canoeing,1,0,0,1,Pavol Hochschorner 28.0 Slovakia 24/08/2008 Canoeing,pavol hochschorner slovakia canoeing,1
Peter Hochschorner,28.0,Slovakia,2008,24/08/2008,Canoeing,1,0,0,1,Peter Hochschorner 28.0 Slovakia 24/08/2008 Canoeing,peter hochschorner slovakia canoeing,1
Martin Hollstein,21.0,Germany,2008,24/08/2008,Canoeing,1,0,0,1,Martin Hollstein 21.0 Germany 24/08/2008 Canoeing,martin hollstein germany canoeing,1
Josefa Idem-Guerrini,43.0,Italy,2008,24/08/2008,Canoeing,0,1,0,1,Josefa Idem-Guerrini 43.0 Italy 24/08/2008 Canoeing,josefa idem guerrini italy canoeing,1
Andreas Ihle,29.0,Germany,2008,24/08/2008,Canoeing,1,0,0,1,Andreas Ihle 29.0 Germany 24/08/2008 Canoeing,andreas ihle germany canoeing,1
